"filename", "language", "JavaScript", "JSON", "SQL", "HTTP", "Ruby", "Python", "comment", "blank", "total"
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Functions\Format.sql", "SQL", 0, 0, 31, 0, 0, 0, 0, 2, 33
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Functions\SectorOfStock.sql", "SQL", 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Functions\commissionPct.sql", "SQL", 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Functions\cred.sql", "SQL", 0, 0, 36, 0, 0, 0, 0, 6, 42
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Functions\format_timestamp_order.sql", "SQL", 0, 0, 14, 0, 0, 0, 1, 1, 16
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Functions\orderStock.sql", "SQL", 0, 0, 93, 0, 0, 0, 1, 4, 98
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\Functions\timeToEpoch.sql", "SQL", 0, 0, 15, 0, 0, 0, 0, 0, 15
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\ACTIVITY\activity1061format.sql", "SQL", 0, 0, 106, 0, 0, 0, 0, 1, 107
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\ACTIVITY\activity4001format.sql", "SQL", 0, 0, 401, 0, 0, 0, 0, 2, 403
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\ADMIN\Admin71.sql", "SQL", 0, 0, 7, 0, 0, 0, 0, 4, 11
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\BACKUP STOCK\populate.sql", "SQL", 0, 0, 21, 0, 0, 0, 0, 1, 22
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\SQL Dump\PopulateTableUtil\BROKER\broker10001.sql", "SQL", 0, 0, 1000, 0, 0, 0, 0, 1, 1001
