Date : 2023-09-11 06:27:01
Total : 94 files,  32083 codes, 185 comments, 1181 blanks, all 33449 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| SQL        |         54 |     26,978 |         48 |        459 |     27,485 |
| JavaScript |         32 |      3,512 |        110 |        692 |      4,314 |
| JSON       |          2 |      1,520 |          0 |          2 |      1,522 |
| Python     |          4 |         50 |         26 |         22 |         98 |
| Ruby       |          1 |         19 |          1 |          6 |         26 |
| HTTP       |          1 |          4 |          0 |          0 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |         94 |     32,083 |        185 |      1,181 |     33,449 |
| . (Files)                                                                                                                  |          5 |      1,564 |          3 |         18 |      1,585 |
| SQL Dump                                                                                                                   |         59 |     27,047 |         75 |        487 |     27,609 |
| SQL Dump (Files)                                                                                                           |          6 |        951 |         28 |        239 |      1,218 |
| SQL Dump\Functions                                                                                                         |          7 |        216 |          2 |         14 |        232 |
| SQL Dump\PopulateTableUtil                                                                                                 |         33 |     24,589 |         30 |         62 |     24,681 |
| SQL Dump\PopulateTableUtil\ACTIVITY                                                                                        |          2 |        507 |          0 |          3 |        510 |
| SQL Dump\PopulateTableUtil\ADMIN                                                                                           |          1 |          7 |          0 |          4 |         11 |
| SQL Dump\PopulateTableUtil\BACKUP STOCK                                                                                    |          1 |         21 |          0 |          1 |         22 |
| SQL Dump\PopulateTableUtil\BROKER                                                                                          |          1 |      1,000 |          0 |          1 |      1,001 |
| SQL Dump\PopulateTableUtil\CORPORATION                                                                                     |          1 |        503 |          0 |          0 |        503 |
| SQL Dump\PopulateTableUtil\CUSTOMER                                                                                        |          1 |      1,000 |          0 |          1 |      1,001 |
| SQL Dump\PopulateTableUtil\EMPLOYEE                                                                                        |          4 |        645 |          3 |          7 |        655 |
| SQL Dump\PopulateTableUtil\EMP_CONTACT                                                                                     |          1 |        320 |          0 |          1 |        321 |
