USER_ID,NAME
1070,B. Riley Financial, Inc.
1080,Fenix Parts, Inc.
1090,Calgon Carbon Corporation
1100,Dycom Industries, Inc.
1110,FTI Consulting, Inc.
1120,Marlin Business Services Corp.
1130,HomeTown Bankshares Corporation
1140,Poage Bankshares, Inc.
1150,RE/MAX Holdings, Inc.
1160,Electronic Arts Inc.
1170,Loxo Oncology, Inc.
1180,Neurotrope, Inc.
1190,Rollins, Inc.
1200,Algonquin Power & Utilities Corp.
1210,United States Cellular Corporation
1220,Federal Agricultural Mortgage Corporation
1230,PIMCO Dynamic Income Fund
1240,PennantPark Floating Rate Capital Ltd.
1250,First Trust CEF Income Opportunity ETF
1260,Western Asset Managed Municipals Fund, Inc.
1270,OFG Bancorp
1280,Sonoma Pharmaceuticals, Inc.
1290,Pain Therapeutics, Inc.
1300,Annaly Capital Management Inc
1310,F.N.B. Corporation
1320,Cardiovascular Systems, Inc.
1330,Analog Devices, Inc.
1340,Capitala Finance Corp.
1350,Diversicare Healthcare Services Inc.
1360,Guaranty Federal Bancshares, Inc.
1370,U.S. Bancorp
1380,Dynegy Inc.
1390,Alere Inc.
1400,Westmoreland Coal Company
1410,Invesco Trust  for Investment Grade New York Municipal
1420,CHS Inc
1430,VelocityShares Daily 2x VIX Short-Term ETN
1440,PowerShares S&P SmallCap Information Technology Portfolio
1450,Valeant Pharmaceuticals International, Inc.
1460,LaSalle Hotel Properties
1470,Twenty-First Century Fox, Inc.
1480,Hess Corporation
1490,International Game Technology
1500,Alpine Global Premier Properties Fund
1510,M/I Homes, Inc.
1520,Long Island Iced Tea Corp.
1530,ZIOPHARM Oncology Inc
1540,FARO Technologies, Inc.
1550,Westlake Chemical Corporation
1560,Natural Grocers by Vitamin Cottage, Inc.
1570,VALE S.A.
1580,ATA Inc.
1590,Alexandria Real Estate Equities, Inc.
1600,CPFL Energia S.A.
1610,VelocityShares Daily 2x VIX Medium-Term ETN
1620,Westinghouse Air Brake Technologies Corporation
1630,Emergent Biosolutions, Inc.
1640,Winmark Corporation
